Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785324609,20,POST,/predict,7.900000,0.000000,700,820,910,1000,1300,1500,1600,1700,1700,1700,1700,136,0,820,1116.359322794939,125.3459999570623,4119.076099945232,224.26470588235293
1785324609,20,,Aggregated,9.800000,0.000000,770,910,1100,1300,1400,1700,2200,2400,2400,2400,2400,165,0,880,1201.4412915164773,125.3459999570623,4119.076099945232,208.57575757575756
1785324610,20,GET,/health,1.700000,0.000000,1300,1400,1400,1400,1700,1700,1700,1700,1700,1700,1700,29,0,1400,1600.4463862105883,575.2472999738529,4045.9925000322983,135.0
1785324610,20,POST,/predict,7.700000,0.000000,690,810,910,990,1300,1400,1500,1600,1600,1600,1600,144,0,820,1097.5104729174443,125.3459999570623,4119.076099945232,224.23611111111111
1785324610,20,,Aggregated,9.400000,0.000000,710,910,1100,1100,1400,1500,1700,1700,1700,1700,1700,173,0,870,1181.817649134214,125.3459999570623,4119.076099945232,209.27745664739885
1785324611,20,GET,/health,1.800000,0.000000,1300,1400,1400,1400,1400,1700,1700,1700,1700,1700,1700,29,0,1400,1600.4463862105883,575.2472999738529,4045.9925000322983,135.0
1785324611,20,POST,/predict,7.700000,0.000000,770,910,1100,1200,1300,1500,1600,1700,1700,1700,1700,151,0,830,1109.406955629612,125.3459999570623,4119.076099945232,224.25165562913907
1785324611,20,,Aggregated,9.500000,0.000000,790,1000,1200,1300,1400,1500,1700,1700,1700,1700,1700,180,0,880,1188.5188638898803,125.3459999570623,4119.076099945232,209.87222222222223
1785324612,20,GET,/health,2.000000,0.000000,1400,1400,1700,1700,1700,1900,1900,1900,1900,1900,1900,31,0,1400,1614.953077424528,575.2472999738529,4045.9925000322983,135.0
1785324612,20,POST,/predict,8.000000,0.000000,810,980,1100,1200,1400,1500,1600,1700,1700,1700,1700,159,0,840,1101.6590937111034,125.3459999570623,4119.076099945232,224.23899371069183
1785324612,20,,Aggregated,10.000000,0.000000,900,1100,1300,1300,1500,1600,1700,1900,1900,1900,1900,190,0,910,1185.4070594748728,125.3459999570623,4119.076099945232,209.67894736842106
1785324613,20,GET,/health,1.600000,0.000000,1400,1700,1700,1700,1900,2100,2100,2100,2100,2100,2100,33,0,1400,1620.9556606076094,575.2472999738529,4045.9925000322983,135.0
1785324613,20,POST,/predict,8.200000,0.000000,830,1000,1200,1200,1500,1500,1600,1700,1700,1700,1700,169,0,850,1095.437956803076,125.3459999570623,4119.076099945232,224.23668639053255
1785324613,20,,Aggregated,9.800000,0.000000,910,1100,1300,1300,1500,1700,1900,2100,2100,2100,2100,202,0,910,1181.2898589097572,125.3459999570623,4119.076099945232,209.65841584158414
1785324614,20,GET,/health,1.300000,0.000000,1300,1400,1700,1700,1900,2100,2100,2100,2100,2100,2100,38,0,1400,1480.8215026308685,172.16859990730882,4045.9925000322983,135.0
1785324614,20,POST,/predict,8.000000,0.000000,830,990,1100,1200,1500,1500,1600,1700,1700,1700,1700,177,0,830,1057.4195112975178,106.1095999320969,4119.076099945232,224.22598870056498
1785324614,20,,Aggregated,9.300000,0.000000,870,1100,1200,1300,1500,1700,1900,2100,2100,2100,2100,215,0,880,1132.253351626203,106.1095999320969,4119.076099945232,208.45581395348836
1785324615,20,GET,/health,1.300000,0.000000,1400,1400,1700,1700,1900,2100,2100,2100,2100,2100,2100,38,0,1400,1480.8215026308685,172.16859990730882,4045.9925000322983,135.0
